Data (DD//MM/AAAA), Hora (HH:MM:SS), T (ºC), T_ref (ºC), H (m), H_ref (m), Q (J/s), Ta (ºC), Ti (ºC), Ni (m3/s), No (m3/s), Nf (m3/s), Na (m3/s)
04-08-2021, 14:36:59, 0.000000, 20.000000, 0.000000, 2.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
04-08-2021, 14:37:00, 19.999783, 20.000000, 2.000015, 2.000000, 42279.398438, 0.022500, 0.078100, 1.000000, 0.000000, 1.500000, 0.240000
04-08-2021, 14:37:01, 19.999784, 20.000000, 2.000001, 2.000000, 7381.000000, 0.001200, 0.078400, 4.500000, 0.000000, 6.100000, 1.500000
04-08-2021, 14:37:02, 19.999712, 20.000000, 2.000001, 2.000000, 16052.599609, 0.001200, 0.071100, 8.400000, 0.000000, 11.300000, 2.860000
04-08-2021, 14:37:03, 20.015610, 20.000000, 1.999999, 2.000000, 0.000000, 0.098700, 100.006897, 0.000000, 0.069000, 0.100000, 0.000000
04-08-2021, 14:37:04, 20.015112, 20.000000, 2.000000, 2.000000, 0.000000, 0.099900, 100.026901, 0.000000, 0.069000, 0.000000, 0.000000
04-08-2021, 14:37:05, 20.014515, 20.000000, 2.000000, 2.000000, 0.000000, 0.099900, 100.047302, 0.000000, 0.073000, 0.000000, 0.000000
04-08-2021, 14:37:06, 20.390392, 20.000000, 1.993375, 2.000000, 0.000000, 0.074900, 100.014603, 0.000000, 100.000000, 0.000000, 0.000000
04-08-2021, 14:37:07, 20.979870, 20.000000, 1.983500, 2.000000, 0.000000, 0.024900, 100.002403, 0.000000, 100.000000, 0.000000, 0.000000
04-08-2021, 14:37:08, 21.461288, 20.000000, 1.970875, 2.000000, 0.000000, 0.099900, 100.082100, 0.000000, 100.000000, 0.000000, 0.000000
04-08-2021, 14:37:09, 21.890522, 20.000000, 1.956875, 2.000000, 0.000000, 100.099899, 100.026001, 0.000000, 100.000000, 0.000000, 0.000000
04-08-2021, 14:37:10, 22.482233, 20.000000, 1.947000, 2.000000, 0.000000, 100.099899, 100.028198, 0.000000, 100.000000, 0.000000, 0.000000
04-08-2021, 14:37:11, 23.019730, 20.000000, 1.935750, 2.000000, 0.000000, 100.099899, 100.099098, 0.000000, 100.000000, 0.000000, 0.000000
04-08-2021, 14:37:12, 23.502869, 20.000000, 1.923125, 2.000000, 0.000000, 100.099899, 100.089500, 0.000000, 100.000000, 0.000000, 0.000000
04-08-2021, 14:37:13, 24.039671, 20.000000, 1.911875, 2.000000, 0.000000, 100.099899, 100.011497, 0.000000, 100.000000, 0.000000, 0.000000
04-08-2021, 14:37:14, 24.628420, 20.000000, 1.902000, 2.000000, 0.000000, 100.099899, 100.092102, 0.000000, 100.000000, 0.000000, 0.000000
04-08-2021, 14:37:15, 25.215269, 20.000000, 1.892125, 2.000000, 0.000000, 100.099899, 100.084702, 0.000000, 100.000000, 0.000000, 0.000000
04-08-2021, 14:37:16, 25.748402, 20.000000, 1.880875, 2.000000, 0.000000, 100.099899, 100.017998, 0.000000, 100.000000, 0.000000, 0.000000
04-08-2021, 14:37:17, 26.227673, 20.000000, 1.868250, 2.000000, 0.000000, 100.099899, 100.026604, 0.000000, 100.000000, 0.000000, 0.000000
04-08-2021, 14:37:18, 26.654198, 20.000000, 1.854250, 2.000000, 0.000000, 100.099899, 100.069199, 0.000000, 100.000000, 0.000000, 0.000000
04-08-2021, 14:37:19, 27.239714, 20.000000, 1.844375, 2.000000, 0.000000, 100.099899, 100.033302, 0.000000, 100.000000, 0.000000, 0.000000
04-08-2021, 14:37:20, 27.876072, 20.000000, 1.835875, 2.000000, 0.000000, 100.099899, 100.024902, 0.000000, 100.000000, 0.000000, 0.000000
04-08-2021, 14:37:21, 28.352573, 20.000000, 1.823250, 2.000000, 0.000000, 100.099899, 100.030403, 100.000000, 100.000000, 0.000000, 10.000000
04-08-2021, 14:37:22, 28.933758, 20.000000, 1.813375, 2.000000, 0.000000, 100.099899, 100.075302, 0.000000, 100.000000, 0.000000, 0.000000
04-08-2021, 14:37:23, 29.356825, 20.000000, 1.799375, 2.000000, 0.000000, 100.099899, 100.056801, 0.000000, 100.000000, 0.000000, 0.000000
04-08-2021, 14:37:24, 29.832865, 20.000000, 1.786750, 2.000000, 0.000000, 100.099899, 100.056297, 0.000000, 100.000000, 0.000000, 0.000000
04-08-2021, 14:37:25, 30.360714, 20.000000, 1.775500, 2.000000, 0.000000, 100.099899, 100.036301, 0.000000, 100.000000, 0.000000, 0.000000
04-08-2021, 14:37:26, 30.940504, 20.000000, 1.765625, 2.000000, 0.000000, 100.099899, 100.032303, 0.000000, 100.000000, 0.000000, 0.000000
04-08-2021, 14:37:27, 31.414637, 20.000000, 1.753000, 2.000000, 0.000000, 100.099899, 100.065903, 0.000000, 100.000000, 0.000000, 0.000000
04-08-2021, 14:37:28, 31.941236, 20.000000, 1.741750, 2.000000, 0.000000, 100.099899, 100.065498, 0.000000, 100.000000, 0.000000, 0.000000
